Technique ID,Technique Name,Tactics,Technique Description,Platform,Link,Changed
T1027.001,Obfuscated Files or Information: Binary Padding,Defense Evasion,"Adversaries may use binary padding to add junk data and change the on-disk representation of malware. This can be done without affecting the functionality or behavior of a binary, but can increase the size of the binary beyond what some security tools are capable of handling due to file size limitations.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1027/001,No
T1027.002,Obfuscated Files or Information: Software Packing,Defense Evasion,Adversaries may perform software packing or virtual machine software protection to conceal their code. Software packing is a method of compressing or encrypting an executable.?adversaries may create their own packing techniques that do not leave the same artifacts as well-known packers to evade defenses.,"Windows,macOS",https://attack.mitre.org/techniques/T1027/002,No
T1027.003,Obfuscated Files or Information: Steganography,Defense Evasion,"Adversaries may use steganography techniques in order to prevent the detection of hidden information. Steganographic techniques can be used to hide data in digital media such as images, audio tracks, video clips, or text files.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1027/003,No
T1027.004,Obfuscated Files or Information: Compile After Delivery,Defense Evasion,Adversaries may attempt to make payloads difficult to discover and analyze by delivering files to victims as uncompiled code. Text-based source code files may subvert analysis and scrutiny from protections targeting executables/binaries. These payloads will need to be compiled before execution; typically via native utilities such as csc.exe or GCC/MinGW.,"Linux,Windows,macOS",https://attack.mitre.org/techniques/T1027/004,No
T1027.005,Obfuscated Files or Information: Indicator Removal from Tools,Defense Evasion,"Adversaries may remove indicators from tools if they believe their malicious tool was detected, quarantined, or otherwise curtailed. They can modify the tool by removing the indicator and using the updated version that is no longer detected by the target's defensive systems or subsequent targets that may use similar systems.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1027/005,No
T1029,Scheduled Transfer,Exfiltration,Adversaries may schedule data exfiltration to be performed only at certain times of day or at certain intervals. This could be done to blend traffic patterns with normal activity or availability.,"Linux,Windows,macOS",https://attack.mitre.org/techniques/T1029,No
T1030,Data Transfer Size Limits,Exfiltration,An adversary may exfiltrate data in fixed size chunks instead of whole files or limit packet sizes below certain thresholds. This approach may be used to avoid triggering network data transfer threshold alerts.,"Linux,Windows,macOS",https://attack.mitre.org/techniques/T1030,No
T1033,System Owner/User Discovery,Discovery,"Adversaries may attempt to identify the primary user, currently logged in user, set of users that commonly uses a system, or whether a user is actively using the system. They may do this, for example, by retrieving account usernames or by using Credential Dumping].","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1033,No
T1036.001,Masquerading: Invalid Code Signature,Defense Evasion,"Adversaries may attempt to mimic features of valid code signatures to increase the chance of deceiving a user, analyst, or tool. Code signing provides a level of authenticity on a binary from the developer and a guarantee that the binary has not been tampered with.","Windows,macOS",https://attack.mitre.org/techniques/T1036/001,No
T1036.002,Masquerading: Right-to-Left Override,Defense Evasion,Adversaries may use the right-to-left override (RTLO or RLO) character (U+202E) as a means of tricking a user into executing what they think is a benign file type but is actually executable code. RTLO is a non-printing character that causes the text that follows it to be displayed in reverse.,"Linux,Windows,macOS",https://attack.mitre.org/techniques/T1036/002,No
T1036.003,Masquerading: Rename System Utilities,Defense Evasion,Adversaries may rename legitimate system utilities to try to evade security mechanisms concerning the usage of those utilities. Security monitoring and control mechanisms may be in place for system utilities adversaries are capable of abusing.,"Linux,Windows,macOS",https://attack.mitre.org/techniques/T1036/003,No
T1036.004,Masquerading: Masquerade Task or Service,Defense Evasion,Adversaries may attempt to manipulate the name of a task or service to make it appear legitimate or benign. Adversaries may give tasks or services names that are similar or identical to those of legitimate ones.,"Linux,Windows",https://attack.mitre.org/techniques/T1036/004,No
T1036.005,Masquerading: Match Legitimate Name or Location,Defense Evasion,Adversaries may match or approximate the name or location of legitimate files when naming/placing their files. This is done for the sake of evading defenses and observation.,"Containers,Linux,Windows,macOS",https://attack.mitre.org/techniques/T1036/005,Yes
T1036.006,Masquerading: Space after Filename,Defense Evasion,"Adversaries can hide a program's true filetype by changing the extension of a file. With certain file types (specifically this does not work with .app extensions), appending a space to the end of a filename will change how the file is processed by the operating system.","Linux,macOS",https://attack.mitre.org/techniques/T1036/006,No
T1037.001,Boot or Logon Initialization Scripts: Logon Script (Windows),"Persistence,Privilege Escalation",Adversaries may use Windows logon scripts automatically executed at logon initialization to establish persistence. Windows allows logon scripts to be run whenever a specific user or group of users log into a system.,Windows,https://attack.mitre.org/techniques/T1037/001,No
T1037.002,Boot or Logon Initialization Scripts: Logon Script (Mac),"Persistence,Privilege Escalation","Adversaries may use macOS logon scripts automatically executed at logon initialization to establish persistence. macOS allows logon scripts (known as login hooks) to be executed whenever a specific user logs into a system. A login hook tells Mac OS X to execute a certain script when a user logs in, but unlike Startup Items, a login hook executes as the elevated root user.",macOS,https://attack.mitre.org/techniques/T1037/002,No
T1037.003,Boot or Logon Initialization Scripts: Network Logon Script,"Persistence,Privilege Escalation",Adversaries may use network logon scripts automatically executed at logon initialization to establish persistence. Network logon scripts can be assigned using Active Directory or Group Policy Objects.,Windows,https://attack.mitre.org/techniques/T1037/003,No
T1037.004,Boot or Logon Initialization Scripts: RC Scripts,"Persistence,Privilege Escalation",Adversaries may use rc.common automatically executed at boot initialization to establish persistence.,"Linux,macOS",https://attack.mitre.org/techniques/T1037/004,Yes
T1037.005,Boot or Logon Initialization Scripts: Startup Items,"Persistence,Privilege Escalation",Adversaries may use startup items automatically executed at boot initialization to establish persistence.,macOS,https://attack.mitre.org/techniques/T1037/005,No
T1039,Data from Network Shared Drive,Collection,Adversaries may search network shares on computers they have compromised to find files of interest.,"Linux,Windows,macOS",https://attack.mitre.org/techniques/T1039,No
T1040,Network Sniffing,"Credential Access,Discovery","Adversaries may sniff network traffic to capture information about an environment, including authentication material passed over the network. Network sniffing may also reveal configuration details, such as running services, version numbers, and other network characteristics necessary for subsequent Lateral Movement and/or Defense Evasion activities.","Linux,Network,Windows,macOS",https://attack.mitre.org/techniques/T1040,Yes
T1041,Exfiltration Over C2 Channel,Exfiltration,Adversaries may steal data by exfiltrating it over an existing command and control channel. Stolen data is encoded into the normal communications channel using the same protocol as command and control communications.,"Linux,Windows,macOS",https://attack.mitre.org/techniques/T1041,No
T1046,Network Service Scanning,Discovery,"Adversaries may attempt to get a listing of services running on remote hosts, including those that may be vulnerable to remote software exploitation. Methods to acquire this information include port scans and vulnerability scans using tools that are brought onto a system.","Containers,IaaS,Linux,Windows,macOS",https://attack.mitre.org/techniques/T1046,Yes
T1047,Windows Management Instrumentation,Execution,"Adversaries may abuse Windows Management Instrumentation (WMI) to achieve execution.  An adversary can use WMI to interact with local and remote systems and use it as a means to perform many tactic functions, such as gathering information for Discovery and remote Execution of files as part of Lateral Movement.",Windows,https://attack.mitre.org/techniques/T1047,No
T1048.001,Exfiltration Over Alternative Protocol: Exfiltration Over Symmetric Encrypted Non-C2 Protocol,Exfiltration,Adversaries may steal data by exfiltrating it over a symmetrically encrypted network protocol other than that of the existing command and control channel. The data may also be sent to an alternate network location from the main command and control server.,"Linux,Windows,macOS",https://attack.mitre.org/techniques/T1048/001,No
T1048.002,Exfiltration Over Alternative Protocol: Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,Exfiltration,Adversaries may steal data by exfiltrating it over an asymmetrically encrypted network protocol other than that of the existing command and control channel. The data may also be sent to an alternate network location from the main command and control server.,"Linux,Windows,macOS",https://attack.mitre.org/techniques/T1048/002,No
T1048.003,Exfiltration Over Alternative Protocol: Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol,Exfiltration,Adversaries may steal data by exfiltrating it over an un-encrypted network protocol other than that of the existing command and control channel. The data may also be sent to an alternate network location from the main command and control server.,"Linux,Windows,macOS",https://attack.mitre.org/techniques/T1048/003,No
T1049,System Network Connections Discovery,Discovery,"Adversaries may attempt to get a listing of network connections to or from the compromised system they are currently accessing or from remote systems by querying for information over the network. Utilities and commands that acquire this information include netstat, net use, net session, netstat, lsof, who -a and w.","IaaS,Linux,Windows,macOS",https://attack.mitre.org/techniques/T1049,Yes
T1052.001,Exfiltration Over Physical Medium: Exfiltration over USB,Exfiltration,"Adversaries may attempt to exfiltrate data over a USB connected physical device. In certain circumstances, such as an air-gapped network compromise, exfiltration could occur via a USB device introduced by a user. The USB device could be used as the final exfiltration point or to hop between otherwise disconnected systems.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1052/001,No
T1053.001,Scheduled Task/Job: At (Linux),"Execution,Persistence,Privilege Escalation",Adversaries may abuse the at utility to perform task scheduling for initial or recurring execution of malicious code. This command within Linux operating systems enables administrators to schedule tasks. An adversary may be able to execute programs at system startup or on a scheduled basis for persistence.,Linux,https://attack.mitre.org/techniques/T1053/001,No
T1053.002,Scheduled Task/Job: At (Windows),"Execution,Persistence,Privilege Escalation",Adversaries may abuse the at.exe utility to perform task scheduling for initial or recurring execution of malicious code. The at.exe command line utility has been deprecated in current versions of Windows in favor of schtasks.,Windows,https://attack.mitre.org/techniques/T1053/002,No
T1053.003,Scheduled Task/Job: Cron,"Execution,Persistence,Privilege Escalation",Adversaries may abuse the cron utility to perform task scheduling for initial or recurring execution of malicious code. The cron utility is a time-based job scheduler for Unix-like operating systems.  An adversary may use cron in Linux or Unix environments to execute programs at system startup or on a scheduled basis for persistence.,"Linux,macOS",https://attack.mitre.org/techniques/T1053/003,No
T1053.004,Scheduled Task/Job: Launchd,"Execution,Persistence,Privilege Escalation","Adversaries may abuse the Launchd daemon, native to macOS, to perform task scheduling for initial or recurring execution of malicious code. An adversary may be able to schedule new executables to run at system startup or on a scheduled basis for persistence.",macOS,https://attack.mitre.org/techniques/T1053/004,No
T1053.005,Scheduled Task/Job: Scheduled Task,"Execution,Persistence,Privilege Escalation",Adversaries may abuse the Windows Task Scheduler to perform task scheduling for initial or recurring execution of malicious code for persistence.  The Windows Task Scheduler can also be abused to conduct remote Execution as part of Lateral Movement and or to run a process under the context of a specified account (such as SYSTEM).,Windows,https://attack.mitre.org/techniques/T1053/005,No
T1053.006,Scheduled Task/Job: Systemd Timers,"Execution,Persistence,Privilege Escalation",Adversaries may abuse systemd timers to perform task scheduling for initial or recurring execution of malicious code. Systemd timers are unit files with file extension timer that control services. Timers can be set to run on a calendar event or after a time span relative to a starting point. An adversary may use systemd timers to execute malicious code at system startup or on a scheduled basis for persistence. Timers installed using privileged paths may be used to maintain root level persistence. Adversaries may also install user level timers to achieve user level persistence.,Linux,https://attack.mitre.org/techniques/T1053/006,No
T1053.007,Scheduled Task/Job: Container Orchestration Job,"Execution,Persistence,Privilege Escalation","Adversaries may abuse task scheduling functionality provided by container orchestration tools such as Kubernetes to schedule deployment of containers configured to execute malicious code. Container orchestration jobs run these automated tasks at a specific date and time, similar to cron jobs on a Linux system. Deployments of this type can also be configured to maintain a quantity of containers over time, automating the process of maintaining persistence within a cluster.",Containers,https://attack.mitre.org/techniques/T1053/007,Yes
T1055.001,Process Injection: Dynamic-link Library Injection,"Defense Evasion,Privilege Escalation",Adversaries may inject dynamic-link libraries (DLLs) into processes in order to evade process-based defenses as well as possibly elevate privileges. DLL injection is a method of executing arbitrary code in the address space of a separate live process.,Windows,https://attack.mitre.org/techniques/T1055/001,No
T1055.002,Process Injection: Portable Executable Injection,"Defense Evasion,Privilege Escalation",Adversaries may inject portable executables (PE) into processes in order to evade process-based defenses as well as possibly elevate privileges. PE injection is a method of executing arbitrary code in the address space of a separate live process.,Windows,https://attack.mitre.org/techniques/T1055/002,No
T1055.003,Process Injection: Thread Execution Hijacking,"Defense Evasion,Privilege Escalation",Adversaries may inject malicious code into hijacked processes in order to evade process-based defenses as well as possibly elevate privileges. Thread Execution Hijacking is a method of executing arbitrary code in the address space of a separate live process.,Windows,https://attack.mitre.org/techniques/T1055/003,No
T1055.004,Process Injection: Asynchronous Procedure Call,"Defense Evasion,Privilege Escalation",Adversaries may inject malicious code into processes via the asynchronous procedure call (APC) queue in order to evade process-based defenses as well as possibly elevate privileges. APC injection is a method of executing arbitrary code in the address space of a separate live process.,Windows,https://attack.mitre.org/techniques/T1055/004,No
T1055.005,Process Injection: Thread Local Storage,"Defense Evasion,Privilege Escalation",Adversaries may inject malicious code into processes via thread local storage (TLS) callbacks in order to evade process-based defenses as well as possibly elevate privileges. TLS callback injection is a method of executing arbitrary code in the address space of a separate live process.,Windows,https://attack.mitre.org/techniques/T1055/005,No
T1055.008,Process Injection: Ptrace System Calls,"Defense Evasion,Privilege Escalation",Adversaries may use Obfuscated Files or Information to hide artifacts of an intrusion from analysis. They may require separate mechanisms to decode or deobfuscate that information depending on how they intend to use it. Methods for doing that include built-in functionality of malware or by using utilities present on the system.,Linux,https://attack.mitre.org/techniques/T1055/008,No
T1055.009,Process Injection: Proc Memory,"Defense Evasion,Privilege Escalation",Adversaries may inject malicious code into processes via the /proc filesystem in order to evade process-based defenses as well as possibly elevate privileges. Proc memory injection is a method of executing arbitrary code in the address space of a separate live process.,Linux,https://attack.mitre.org/techniques/T1055/009,No
T1055.011,Process Injection: Extra Window Memory Injection,"Defense Evasion,Privilege Escalation",Adversaries may inject malicious code into process via Extra Window Memory (EWM) in order to evade process-based defenses as well as possibly elevate privileges. EWM injection is a method of executing arbitrary code in the address space of a separate live process.,Windows,https://attack.mitre.org/techniques/T1055/011,No
T1055.012,Process Injection: Process Hollowing,"Defense Evasion,Privilege Escalation",Adversaries may inject malicious code into suspended and hollowed processes in order to evade process-based defenses. Process hollowing is a method of executing arbitrary code in the address space of a separate live process.,Windows,https://attack.mitre.org/techniques/T1055/012,No
T1055.013,Process Injection: Process Doppelgänging,"Defense Evasion,Privilege Escalation",Adversaries may inject malicious code into process via process Doppelganging in order to evade process-based defenses as well as possibly elevate privileges. Process Doppelganging is a method of executing arbitrary code in the address space of a separate live process.,Windows,https://attack.mitre.org/techniques/T1055/013,No
T1055.014,Process Injection: VDSO Hijacking,"Defense Evasion,Privilege Escalation",Adversaries may inject malicious code into processes via VDSO hijacking in order to evade process-based defenses as well as possibly elevate privileges. Virtual dynamic shared object (vdso) hijacking is a method of executing arbitrary code in the address space of a separate live process.,Linux,https://attack.mitre.org/techniques/T1055/014,No
T1056.001,Input Capture: Keylogging,"Collection,Credential Access","Adversaries may log user keystrokes to intercept credentials as the user types them. Keylogging is likely to be used to acquire credentials for new access opportunities when OS Credential Dumping efforts are not effective, and may require an adversary to intercept keystrokes on a system for a substantial period of time before credentials can be successfully captured.","Linux,Network,Windows,macOS",https://attack.mitre.org/techniques/T1056/001,No
T1056.002,Input Capture: GUI Input Capture,"Collection,Credential Access","Adversaries may mimic common operating system GUI components to prompt users for credentials with a seemingly legitimate prompt. When programs are executed that need additional privileges than are present in the current user context, it is common for the operating system to prompt the user for proper credentials to authorize the elevated privileges for the task. Adversaries may mimic this functionality to prompt users for credentials with a seemingly legitimate prompt for a number of reasons that mimic normal usage, such as a fake installer requiring additional access or a fake malware removal suite.","Windows,macOS",https://attack.mitre.org/techniques/T1056/002,No
T1056.003,Input Capture: Web Portal Capture,"Collection,Credential Access","Adversaries may install code on externally facing portals, such as a VPN login page, to capture and transmit credentials of users who attempt to log into the service. For example, a compromised login page may log provided user credentials before logging the user in to the service.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1056/003,No
T1056.004,Input Capture: Credential API Hooking,"Collection,Credential Access",Adversaries may hook into Windows application programming interface (API) functions to collect user credentials. Malicious hooking mechanisms may capture API calls that include parameters that reveal user authentication credentials.,Windows,https://attack.mitre.org/techniques/T1056/004,No
T1057,Process Discovery,Discovery,"Adversaries may attempt to get information about running processes on a system. Information obtained could be used to gain an understanding of common software/applications running on systems within the network. Adversaries may use the information from Process Discovery during automated discovery to shape follow-on behaviors, including whether or not the adversary fully infects the target and/or attempts specific actions.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1057,No
T1059.001,Command and Scripting Interpreter: PowerShell,Execution,"Adversaries may abuse PowerShell commands and scripts for execution. Adversaries can use PowerShell to perform a number of actions, including discovery of information and execution of code.",Windows,https://attack.mitre.org/techniques/T1059/001,No
T1059.002,Command and Scripting Interpreter: AppleScript,Execution,"Adversaries may abuse AppleScript for execution. AppleScript is a macOS scripting language designed to control applications and parts of the OS via inter-application messages called AppleEvents. Adversaries can use osascrip to execute various behaviors, such as interacting with an open SSH connection, moving to remote machines, and even presenting users with fake dialog boxes.",macOS,https://attack.mitre.org/techniques/T1059/002,No
T1059.003,Command and Scripting Interpreter: Windows Command Shell,Execution,"Adversaries may abuse the Windows command shell for execution. Batch files (ex: .bat or .cmd) also provide the shell with a list of sequential commands to run, as well as normal scripting operations such as conditionals and loops. Adversaries may leverage cmd.exe to execute various commands and payloads.",Windows,https://attack.mitre.org/techniques/T1059/003,No
T1059.004,Command and Scripting Interpreter: Unix Shell,Execution,"Adversaries may abuse Unix shell commands and scripts for execution. Unix shells are the primary command prompt on Linux and macOS systems. Unix shells can control every aspect of a system, with certain commands requiring elevated privileges. Adversaries may abuse Unix shells to execute various commands or payloads. Interactive shells may be accessed through command and control channels or during lateral movement. Adversaries may also leverage shell scripts to deliver and execute multiple commands on victims or as part of payloads used for persistence.","Linux,macOS",https://attack.mitre.org/techniques/T1059/004,No
T1059.005,Command and Scripting Interpreter: Visual Basic,Execution,Adversaries may abuse Visual Basic (VB) for execution. VB is a programming language created by Microsoft with interoperability with many Windows technologies. Adversaries may use VB payloads to execute malicious commands. Common malicious usage includes automating execution of behaviors with VBScript or embedding VBA content into Spearphishing Attachments.,"Linux,Windows,macOS",https://attack.mitre.org/techniques/T1059/005,No
T1059.006,Command and Scripting Interpreter: Python,Execution,Adversaries may abuse Python commands and scripts for execution. Adversaries can use these libraries to download and execute commands or other scripts as well as perform various malicious behaviors.,"Linux,Windows,macOS",https://attack.mitre.org/techniques/T1059/006,No
T1059.007,Command and Scripting Interpreter: JavaScript,Execution,Adversaries may abuse JavaScript and/or JScript for execution. JavaScript (JS) is a platform-agnostic scripting language commonly associated with scripts in webpages. Adversaries may abuse JavaScript / JScript to execute various behaviors. Common uses include hosting malicious scripts on websites as part of a Drive-by Compromise or downloading and executing these script files as secondary payloads.,"Linux,Windows,macOS",https://attack.mitre.org/techniques/T1059/007,Yes
T1059.008,Command and Scripting Interpreter: Network Device CLI,Execution,"Adversaries may abuse scripting or built-in command line interpreters (CLI) on network devices to execute malicious command and payloads. The CLI is the primary means through which users and administrators interact with the device in order to view system information, modify device operations, or perform diagnostic and administrative functions. CLIs typically contain various permission levels required for different commands. Adversaries can use the network CLI to change how network devices behave and operate. The CLI may be used to manipulate traffic flows to intercept or manipulate data, modify startup configuration parameters to load malicious system software, or to disable security features or logging to avoid detection.",Network,https://attack.mitre.org/techniques/T1059/008,No
T1068,Exploitation for Privilege Escalation,Privilege Escalation,"Adversaries may exploit software vulnerabilities in an attempt to collect elevate privileges. An adversary takes advantage of a programming error in a program, service, or within the operating system software or kernel itself to execute adversary-controlled code. They will likely need to perform privilege escalation to include use of software exploitation to circumvent those restrictions.","Containers,Linux,Windows,macOS",https://attack.mitre.org/techniques/T1068,Yes
T1069.001,Permission Groups Discovery: Local Groups,Discovery,"Adversaries may attempt to find local system groups and permission settings via tools such as net localgroup, dscl . -list /Groups, groups. This knowledge can help adversaries determine which groups exist and which users belong to a particular group. Adversaries may use this information to determine which users have elevated permissions, such as the users found within the local administrators group.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1069/001,No
T1069.002,Permission Groups Discovery: Domain Groups,Discovery,"Adversaries may attempt to find domain-level groups and permission settings. The knowledge of domain-level permission groups can help adversaries determine which groups exist and which users belong to a particular group. Adversaries may use this information to determine which users have elevated permissions, such as domain administrators.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1069/002,No
